Title,Genre,Studio,Total Gross,Theaters,Opening Gross,Open Date
Pixels,Action Comedy,Sony,"$78,747,585.00 ",3723,"$24,011,616.00 ",7/24/15
Paddington,Family,W/Dim.,"$76,271,832.00 ",3355,"$18,966,676.00 ",1/16/15
The Intern,Comedy,WB,"$75,764,672.00 ",3320,"$17,728,313.00 ",9/25/15
Bridge of Spies,Thriller,BV,"$72,313,754.00 ",2873,"$15,371,203.00 ",10/16/15
Paul Blart: Mall Cop 2,Comedy,Sony,"$71,038,190.00 ",3633,"$23,762,435.00 ",4/17/15
The Big Short,Drama,Par.,"$70,259,870.00 ",2529,"$705,527.00 ",12/11/15
War Room,Drama,TriS,"$67,790,117.00 ",1945,"$11,351,389.00 ",8/28/15
Magic Mike XXL,Comedy / Drama,WB,"$66,013,057.00 ",3376,"$12,857,184.00 ",7/1/15
The Visit,Horror,Uni.,"$65,206,105.00 ",3148,"$25,427,560.00 ",9/11/15
The Wedding Ringer,Comedy,SGem,"$64,460,211.00 ",3003,"$20,649,306.00 ",1/16/15
Black Mass,Crime Drama,WB,"$62,575,678.00 ",3188,"$22,635,037.00 ",9/18/15
Vacation,Comedy,WB (NL),"$58,884,188.00 ",3430,"$14,681,108.00 ",7/29/15
The Perfect Guy,Thriller,SGem,"$57,027,435.00 ",2230,"$25,888,154.00 ",9/11/15
Joy,Comedy / Drama,Fox,"$56,451,232.00 ",2924,"$17,015,168.00 ",12/25/15
Fantastic Four,Action / Adventure,Fox,"$56,117,548.00 ",4004,"$25,685,737.00 ",8/7/15
The Hateful Eight,Western,Wein.,"$54,117,416.00 ",2938,"$4,610,676.00 ",12/25/15
Focus (2015),Comedy,WB,"$53,862,963.00 ",3323,"$18,685,137.00 ",2/27/15
Southpaw,Drama,Wein.,"$52,421,953.00 ",2772,"$16,701,294.00 ",7/24/15
Insidious Chapter 3,Horror,Focus,"$52,218,558.00 ",3014,"$22,692,741.00 ",6/5/15
Poltergeist (2015),Horror,Fox,"$47,425,125.00 ",3242,"$22,620,386.00 ",5/22/15
Jupiter Ascending,Sci-Fi,WB,"$47,387,723.00 ",3181,"$18,372,372.00 ",2/6/15
Sicario,Action Drama,LGF,"$46,889,293.00 ",2620,"$401,288.00 ",9/18/15
The Man From U.N.C.L.E.,Action,WB,"$45,445,109.00 ",3673,"$13,421,036.00 ",8/14/15
Spotlight,Drama,ORF,"$45,055,776.00 ",1227,"$295,009.00 ",11/6/15
"McFarland, USA",Sports Drama,BV,"$44,482,410.00 ",2792,"$11,020,798.00 ",2/20/15
The Gift (2015),Thriller,STX,"$43,787,265.00 ",2503,"$11,854,273.00 ",8/7/15
Everest (2015),Thriller,Uni.,"$43,482,270.00 ",3009,"$7,222,035.00 ",9/18/15
The Night Before,Comedy,Sony,"$43,047,372.00 ",2960,"$9,880,536.00 ",11/20/15
Krampus,Horror Comedy,Uni.,"$42,725,475.00 ",2919,"$16,293,325.00 ",12/4/15
Max (2015),Family,WB,"$42,656,255.00 ",2870,"$12,155,254.00 ",6/26/15
The Age of Adaline,Drama,LGF,"$42,629,776.00 ",3070,"$13,203,458.00 ",4/24/15
Brooklyn,Drama,FoxS,"$38,322,743.00 ",962,"$187,281.00 ",11/4/15
The Longest Ride,Romance,Fox,"$37,446,117.00 ",3371,"$13,019,686.00 ",4/10/15
The Boy Next Door,Thriller,Uni.,"$35,423,380.00 ",2615,"$14,910,105.00 ",1/23/15
Pan,Fantasy,WB,"$35,088,320.00 ",3515,"$15,315,435.00 ",10/9/15
Hot Pursuit,Comedy,WB (NL),"$34,580,201.00 ",3037,"$13,942,258.00 ",5/8/15
Concussion (2015),Drama,Sony,"$34,542,474.00 ",2841,"$10,513,749.00 ",12/25/15
The DUFF,Comedy,LGF,"$34,030,343.00 ",2622,"$10,809,149.00 ",2/20/15
Woman in Gold,Drama,Wein.,"$33,307,793.00 ",2011,"$2,091,551.00 ",4/1/15
The Second Best Exotic Marigold Hotel,Comedy / Drama,FoxS,"$33,078,266.00 ",2022,"$8,540,370.00 ",3/6/15
Unfriended,Horror,Uni.,"$32,482,090.00 ",2775,"$15,845,115.00 ",4/17/15
Entourage,Comedy,WB,"$32,363,404.00 ",3108,"$10,283,250.00 ",6/3/15
